2025-07-28 08:32:29,748 - orchestrator - INFO - register_robot_service:124 - Registered robot service: meca
2025-07-28 08:32:29,750 - orchestrator - INFO - register_robot_service:124 - Registered robot service: ot2
2025-07-28 08:32:29,752 - orchestrator - INFO - register_protocol_service:129 - Registered protocol execution service
2025-07-28 08:32:34,807 - orchestrator - INFO - start:141 - RobotOrchestrator service started
2025-07-28 08:32:34,809 - command_service - INFO - _on_start:134 - Starting Robot command service...
2025-07-28 08:32:34,812 - command_service - INFO - _on_start:139 - Orchestrator available with registered services: {'meca': 'MecaService', 'ot2': 'OT2Service'}
2025-07-28 08:32:34,813 - command_service - INFO - _on_start:144 - Available command processors: ['meca', 'ot2', 'arduino', 'carousel']
2025-07-28 08:32:34,815 - command_service - INFO - _on_start:148 - Robot command service started with command queue processor
2025-07-28 08:32:34,817 - command_service - INFO - start:141 - RobotCommandService service started
2025-07-28 08:32:34,837 - command_service - INFO - _process_command_queue:402 - Command queue processor started
2025-07-28 08:32:39,837 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:32:44,840 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:32:49,786 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:32:54,790 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:32:59,808 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:33:04,814 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:33:09,823 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:33:14,827 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:33:19,761 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:33:24,765 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:33:29,769 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:33:34,771 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:33:39,774 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:33:44,776 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:33:49,701 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:33:54,705 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:33:59,710 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:34:04,713 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:34:09,793 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:34:14,795 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:34:19,712 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:34:24,716 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:34:29,720 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:34:34,724 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:34:39,726 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:34:44,729 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:34:49,688 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:34:54,794 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:34:59,821 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:35:04,838 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:35:10,226 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:35:15,469 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:35:20,383 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:35:25,514 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:35:30,544 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:35:35,614 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:35:40,640 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:35:45,789 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:35:50,726 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:35:55,732 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:36:00,736 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:36:05,780 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:36:10,793 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:36:15,796 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:36:20,763 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:36:25,766 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:36:30,768 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:36:35,772 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:36:40,774 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:36:45,777 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:36:50,750 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:36:55,757 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:37:00,759 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:37:05,761 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:37:10,780 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:37:15,788 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:37:20,742 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:37:25,745 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
